,No,Id,Type,Secteur,Largeur,Hauteur,Soudure,Peinture,Finition,Setup,Finition_Long,Palette
881,C-3312-3395-A112,3395,Plafond,11,43.0,80.1875,60,2.474922839506173,25,0,1,154
882,C-3312-3396-A112,3396,Plafond,11,43.0,80.1875,60,2.474922839506173,25,0,1,154
883,C-3312-3397-A112,3397,Plafond,11,43.0,80.1875,50,2.474922839506173,10,0,0,156
884,C-3312-3398-A112,3398,Plafond,11,43.0,116.125,60,3.5841049382716053,25,0,1,156
885,C-3312-3399-A112,3399,Plafond,11,12.125,116.125,20,3.5841049382716053,5,0,0,156
1084,C-3312-3400-A1,3400,Mur,14,34.75,126.625,20,3.908179012345679,5,0,0,155
1085,C-3312-3400-A112,3400,Plafond,14,36.625,126.625,50,3.908179012345679,10,0,0,156
1086,C-3312-3401-A112,3401,Plafond,14,43.0,126.625,60,3.908179012345679,25,0,1,156
1087,C-3312-3402-A1,3402,Mur,14,43.0,126.625,20,3.908179012345679,5,0,0,155
1088,C-3312-3402-A112,3402,Plafond,14,43.0,126.625,50,3.908179012345679,10,0,0,156
1089,C-3312-3403-A112,3403,Plafond,14,36.625,126.625,60,3.908179012345679,25,0,1,156
1090,C-3312-3404-A1,3404,Mur,14,43.0,126.625,20,3.908179012345679,5,0,0,155
1091,C-3312-3404-A112,3404,Plafond,14,43.0,126.625,50,3.908179012345679,10,0,0,157
1092,C-3312-3405-A112,3405,Plafond,14,43.0,126.625,60,3.908179012345679,25,0,1,157
1093,C-3312-3406-A1,3406,Mur,14,43.0,126.625,20,3.908179012345679,5,0,0,155
1094,C-3312-3406-A112,3406,Plafond,14,43.0,126.625,50,3.908179012345679,10,0,0,157
1095,C-3312-3407-A1,3407,Mur,14,43.0,126.625,20,3.908179012345679,5,0,0,155
1096,C-3312-3407-A112,3407,Plafond,14,43.0,126.625,60,3.908179012345679,25,0,1,157
1098,C-3312-3408-A112,3408,Plafond,14,43.0,126.625,50,3.908179012345679,10,0,0,157
1097,C-3312-3408-A1,3408,Mur,14,43.0,126.625,20,3.908179012345679,5,0,0,155
1033,C-3312-3409-A112,3409,Plafond,13,13.0,36.25,20,1.1188271604938271,5,0,0,157
1032,C-3312-3409-A1,3409,Mur,13,13.0,36.25,20,1.1188271604938271,5,0,0,158
